record_id,zone,crop,growth_stage,soil_moisture_pct,nitrogen_mg_kg,phosphorus_mg_kg,potassium_mg_kg,soil_ph,temperature_c,humidity_pct,rainfall_mm,wind_speed_kmh,solar_radiation_wm2,water_required_mm,fertilizer_required_kg_ha,irrigation_status,nutrient_status
1,D,Tomato,Vegetative,24.66,79.22,68.99,55.49,6.42,36.04,58.19,5.44,10.08,288.7,37.61,55.89,High Need,Moderate
2,E,Wheat,Flowering,53.3,107.87,28.1,115.41,7.41,37.88,46.52,16.76,24.85,708.1,29.96,51.71,High Need,Moderate
3,C,Wheat,Maturity,25.18,55.69,29.93,105.07,6.05,20.17,92.84,0.65,16.91,252.71,17.34,64.48,Moderate Need,High
4,E,Rice,Flowering,38.32,49.99,77.2,49.46,6.08,20.3,92.56,62.14,20.57,439.5,2.72,67.35,No/Low Need,High
5,E,Rice,Vegetative,58.92,41.38,36.54,20.75,7.53,35.52,79.82,65.25,17.07,348.53,0.69,81.81,No/Low Need,High
6,B,Maize,Flowering,59.04,23.78,10.67,49.67,6.31,23.55,52.78,79.84,24.75,243.4,0.0,86.77,No/Low Need,High
7,C,Wheat,Flowering,39.2,24.3,29.87,48.13,7.25,19.29,49.71,32.98,20.71,592.75,17.85,85.57,Moderate Need,High
8,C,Wheat,Flowering,59.53,107.01,18.35,109.0,5.82,26.83,94.32,1.54,13.47,417.48,14.06,53.59,Moderate Need,Moderate
9,C,Maize,Flowering,62.32,87.84,17.2,116.71,7.67,36.04,38.99,18.78,9.81,492.9,22.67,60.97,Moderate Need,High
10,E,Tomato,Maturity,51.29,86.05,15.42,27.04,6.69,20.78,85.61,47.02,17.37,266.48,0.0,65.7,No/Low Need,High
11,D,Rice,Flowering,25.71,81.46,51.53,67.13,7.17,32.78,56.33,76.96,15.17,752.69,25.1,60.78,High Need,High
12,C,Maize,Vegetative,28.44,104.92,23.25,74.83,5.43,18.08,60.13,8.29,16.1,367.51,23.42,57.54,Moderate Need,Moderate
13,F,Rice,Flowering,30.89,68.03,35.29,29.29,6.48,20.41,84.92,9.73,9.23,391.31,27.51,69.94,High Need,High
14,E,Tomato,Seedling,19.01,107.04,70.34,57.75,7.54,25.72,40.44,56.14,11.29,314.33,14.1,47.32,Moderate Need,Moderate
15,B,Maize,Maturity,28.39,55.94,39.7,51.71,7.48,19.84,56.25,53.38,14.39,469.24,10.8,71.17,No/Low Need,High
16,D,Potato,Seedling,24.57,112.67,74.1,73.61,5.32,36.61,92.12,20.04,21.14,494.04,22.25,43.49,Moderate Need,Moderate
17,F,Rice,Vegetative,39.32,89.87,44.86,86.12,5.99,37.01,76.94,65.05,19.31,550.22,15.93,54.87,Moderate Need,Moderate
18,F,Rice,Maturity,66.51,45.72,37.92,90.35,6.35,34.62,80.3,10.3,3.85,922.43,21.01,66.8,Moderate Need,High
19,B,Rice,Flowering,18.27,76.41,62.53,33.68,5.65,23.33,80.45,74.06,6.89,868.99,20.71,65.15,Moderate Need,High
20,D,Rice,Vegetative,55.22,73.3,15.12,101.29,7.1,29.51,38.63,16.08,1.64,617.98,25.21,64.07,High Need,High
21,E,Rice,Vegetative,53.24,33.79,16.26,87.85,5.68,22.05,47.19,6.51,1.19,133.07,14.72,79.0,Moderate Need,High
22,A,Potato,Maturity,17.75,79.12,55.64,108.91,6.1,24.19,64.48,27.16,6.39,620.42,24.91,51.7,Moderate Need,Moderate
23,D,Rice,Vegetative,67.35,51.48,44.09,64.93,6.92,29.35,57.09,15.03,20.18,176.22,10.99,69.48,No/Low Need,High
24,B,Rice,Maturity,46.11,25.23,65.33,109.39,6.45,34.17,59.65,42.16,22.71,703.79,20.86,65.74,Moderate Need,High
25,F,Tomato,Seedling,33.82,114.87,74.14,106.58,7.12,20.08,81.89,54.95,10.4,431.57,4.65,36.59,No/Low Need,Moderate
26,E,Wheat,Flowering,57.39,84.15,37.19,63.84,7.7,24.53,35.88,39.27,14.52,812.04,15.46,65.02,Moderate Need,High
27,D,Tomato,Maturity,27.44,107.69,51.75,58.11,5.5,38.39,74.63,52.85,17.95,901.15,26.27,51.75,High Need,Moderate
28,A,Rice,Vegetative,53.61,87.61,45.05,113.28,7.04,27.44,35.01,29.19,23.87,454.54,20.19,52.42,Moderate Need,Moderate
29,A,Wheat,Vegetative,14.38,55.7,78.71,91.52,5.8,38.66,38.78,2.23,22.91,491.47,42.81,59.83,High Need,Moderate
30,C,Rice,Vegetative,62.36,71.27,68.18,112.82,6.28,39.81,59.5,77.93,2.37,601.63,2.94,52.26,No/Low Need,Moderate
31,C,Rice,Flowering,38.89,87.57,73.82,99.7,5.29,29.59,85.46,65.55,6.96,267.56,3.77,53.07,No/Low Need,Moderate
